x,y
362,12168
330,11480.87890625
835.6347045898438,11219.908203125
1473.3458251953125,10956.16796875
1681.1669921875,10300.3984375
1686.234130859375,9600.611328125
1688.20458984375,8900.802734375
1689.3875732421875,8200.99267578125
1690.0927734375,7501.18212890625
1690.4034423828125,6801.37109375
1690.4381103515625,6101.56005859375
1690.161865234375,5401.7490234375
1689.57421875,4701.9384765625
1688.46875,4002.12841796875
1686.7265625,3302.3193359375
1683.201904296875,2602.518310546875
1559.77978515625,1919.56396484375
984.193115234375,1564.525390625
330.0000305175781,1421.54296875
330,721.732421875
899.869384765625,559.6619873046875
1599.6793212890625,560.5652465820312
2299.490234375,561.468505859375
2999.30029296875,562.371826171875
3699.11181640625,563.196044921875
4398.921875,563.8399658203125
5098.73095703125,564.6765747070312
5798.5400390625,566.383056640625
6498.31396484375,572.9061279296875
7196.04931640625,622.280029296875
7888.12451171875,724.9370727539062
8569.517578125,883.427978515625
9232.470703125,1106.558837890625
9866.09375,1402.631591796875
10456.4794921875,1777.3690185546875
10988.3583984375,2231.21923828125
11447.9228515625,2758.111328125
11822.6611328125,3348.35595703125
12108.7783203125,3986.3984375
12310.1728515625,4656.154296875
12433.97265625,5344.58544921875
12491.2236328125,6041.83203125
12490.818359375,6741.453125
12432.505859375,7438.60791015625
12307.4814453125,8126.828125
12104.232421875,8796.0009765625
11814.5576171875,9432.41796875
11436.6298828125,10020.6552734375
10971.220703125,10542.2236328125
10438.185546875,10994.443359375
9845.4638671875,11365.5009765625
9210.255859375,11658.162109375
8546.1220703125,11877.7353515625
7863.90380859375,12032.6640625
7171.37744140625,12132.2236328125
6473.58154296875,12182.7880859375
5773.84326171875,12191.85546875
5074.037109375,12194.3564453125
4374.2255859375,12195.6728515625
3674.413818359375,12196.6357421875
2974.607177734375,12197.5771484375
2274.795166015625,12198.505859375
1574.9871826171875,12199.4345703125
875.1753540039062,12200.36328125
6457.65869140625,11269.7412109375
7148.31201171875,11162.435546875
7798.11962890625,10908.2822265625
8343.8740234375,10475.1455078125
8725.85546875,9891.681640625
8964.587890625,9234.8271484375
9110.541015625,8550.740234375
9197.556640625,7856.513671875
9242.8232421875,7158.23486328125
9258.8916015625,6458.64990234375
9249.1689453125,5758.94873046875
9211.0986328125,5060.2333984375
9132.9267578125,4364.9375
9001.0634765625,3677.906982421875
8790.3720703125,3011.253662109375
8445.3095703125,2404.898681640625
7934.67724609375,1930.9710693359375
7302.89697265625,1635.3560791015625
6618.52783203125,1494.2679443359375
5919.3564453125,1472.0977783203125
5226.85791015625,1558.7164306640625
4749.17822265625,2018.283447265625
4670.14306640625,2710.330078125
4666.44775390625,3410.12939453125
4664.84033203125,4109.94140625
4663.89599609375,4809.7470703125
4662.990234375,5509.55908203125
4662.0849609375,6209.3671875
4661.59716796875,6909.177734375
4661.3623046875,7608.9921875
4661.39501953125,8308.802734375
4661.888671875,9008.609375
4663.64111328125,9708.4189453125
4682.96728515625,10407.576171875
4929.44873046875,11046.71484375
5586.2958984375,11259.8740234375
